ID,Neighborhood,Bedrooms,Bathrooms,Size_sqft,Floor,Building_Type,Furnishing,View,Condition,Parking_Spaces,Price_AED,Price_per_sqft_AED,Annual_Rent_AED,Service_Charge_AED,Listing_Date,Days_on_Market
202,Dubai Silicon Oasis,5+ BR,4,4043,2,Low-Rise,Unfurnished,Pool View,Average,1,3118000,771,205000,82127,2022-08-18,94
203,Oud Metha,1 BR,1,820,22,High-Rise,Furnished,Garden View,Average,0,737000,899,43000,18738,2024-01-01,11
204,Remraam,2 BR,2,1343,39,Mid-Rise,Unfurnished,Pool View,Average,2,928000,691,59000,21105,2022-07-09,162
205,Jumeirah Beach Residence (JBR),Studio,1,414,33,Serviced Apartment,Furnished,Burj Khalifa View,Good,1,1081000,2611,82000,6891,2022-07-10,119
206,Dubailand,4 BR,3,3365,7,Serviced Apartment,Semi-Furnished,City View,Excellent,2,2743000,815,175000,81128,2023-06-27,41
207,Remraam,2 BR,2,1204,22,Villa Compound,Semi-Furnished,Park View,Average,2,882000,733,51000,22508,2024-02-07,159
208,Dubai Hills Estate,3 BR,3,2186,45,Mid-Rise,Semi-Furnished,Garden View,Good,1,4335000,1983,277000,32366,2022-09-09,34
209,Al Barsha,5+ BR,6,5722,4,Mid-Rise,Semi-Furnished,City View,Average,0,5869000,1026,476000,136580,2024-10-27,97
210,Damac Hills,2 BR,2,1105,2,Mid-Rise,Unfurnished,Street View,New,1,1495000,1353,99000,17999,2022-12-06,145
211,Jumeirah Lakes Towers (JLT),4 BR,3,2446,40,Low-Rise,Semi-Furnished,Street View,New,2,4548000,1859,316000,41892,2023-04-27,133
212,Deira,1 BR,1,770,2,Villa Compound,Unfurnished,Street View,Average,2,462000,600,27000,13728,2023-12-03,52
213,Jumeirah Beach Residence (JBR),2 BR,2,1166,32,Low-Rise,Semi-Furnished,Pool View,New,1,3149000,2701,245000,19788,2022-03-02,54
214,Dubailand,4 BR,4,2870,57,Mid-Rise,Unfurnished,City View,Average,0,2368000,825,190000,69006,2023-03-05,110
215,Jumeirah Beach Residence (JBR),3 BR,3,1997,26,Mid-Rise,Unfurnished,Canal View,Excellent,2,5133000,2570,305000,42722,2024-08-16,3
216,Mirdif,1 BR,1,622,3,Low-Rise,Furnished,City View,Excellent,1,671000,1079,44000,12612,2024-01-21,60
217,Al Nahda,1 BR,1,777,45,High-Rise,Unfurnished,City View,Excellent,2,776000,999,52000,13806,2022-05-05,54
218,Dubai Creek Harbour,5+ BR,4,5585,57,Villa Compound,Unfurnished,Canal View,Excellent,1,11232000,2011,816000,137456,2023-12-30,58
219,Dubai Hills Estate,2 BR,2,1322,27,Low-Rise,Furnished,Burj Khalifa View,Good,1,3092000,2339,245000,16172,2025-05-12,72
220,Al Nahda,5+ BR,4,3042,5,High-Rise,Furnished,Park View,Average,0,2326000,765,166000,72577,2024-10-20,120
221,Oud Metha,1 BR,1,904,8,Mid-Rise,Unfurnished,Garden View,Good,1,766000,847,54000,12155,2025-05-31,86
222,Dubai Hills Estate,5+ BR,6,4062,27,Low-Rise,Furnished,City View,Good,2,7521000,1852,582000,77886,2024-01-06,6
223,Dubai Silicon Oasis,4 BR,3,3458,44,Villa Compound,Unfurnished,City View,Excellent,2,3658000,1058,217000,61464,2024-05-21,133
224,Damac Hills,5+ BR,5,5445,53,Villa Compound,Unfurnished,City View,Excellent,2,8361000,1536,682000,133508,2024-03-02,156
225,Downtown Dubai,4 BR,3,2378,31,Low-Rise,Unfurnished,Canal View,Excellent,1,8120000,3415,568000,55494,2025-04-24,147
226,Arjan,4 BR,4,2283,28,Low-Rise,Unfurnished,Pool View,Good,2,2026000,887,150000,38472,2022-06-16,53
227,Damac Hills,Studio,1,467,26,High-Rise,Unfurnished,Pool View,Average,2,534000,1143,38000,6838,2023-03-13,146
228,Palm Jumeirah,1 BR,1,852,6,Villa Compound,Unfurnished,Park View,Average,0,2127000,2496,149000,18387,2025-05-26,48
229,Jumeirah Village Circle (JVC),Studio,1,427,52,High-Rise,Semi-Furnished,Street View,New,1,508000,1190,40000,10119,2024-06-05,16
230,Al Quoz,4 BR,4,3288,27,Villa Compound,Unfurnished,Street View,Average,0,2446000,744,155000,41196,2024-09-30,85
231,DIFC,5+ BR,4,4924,39,Mid-Rise,Furnished,Canal View,Excellent,0,19671000,3995,1222000,122181,2025-01-23,164
232,Al Quoz,1 BR,1,615,4,Serviced Apartment,Unfurnished,Street View,Good,1,446000,725,29000,13336,2023-02-14,69
233,Dubai Silicon Oasis,3 BR,2,1690,27,Serviced Apartment,Unfurnished,Street View,Excellent,2,1663000,984,128000,30009,2023-05-06,143
234,Al Quoz,Studio,1,565,13,High-Rise,Unfurnished,Sea View,Good,1,426000,754,30000,11759,2023-09-29,73
235,Deira,4 BR,3,3483,26,Mid-Rise,Semi-Furnished,Canal View,Excellent,2,3424000,983,203000,52767,2022-10-17,155
236,Damac Hills,3 BR,2,1615,36,Low-Rise,Semi-Furnished,Park View,Average,1,1925000,1192,157000,28755,2022-10-14,152
237,Jumeirah Lakes Towers (JLT),Studio,1,646,24,Serviced Apartment,Unfurnished,Pool View,Average,1,750000,1161,45000,13913,2023-11-10,65
238,Dubai Creek Harbour,4 BR,4,2639,25,Low-Rise,Unfurnished,City View,New,1,5197000,1969,304000,36243,2024-12-20,145
239,Al Quoz,1 BR,1,607,4,Villa Compound,Unfurnished,Burj Khalifa View,New,0,630000,1038,43000,7945,2023-09-12,155
240,International City,2 BR,2,1014,7,Mid-Rise,Semi-Furnished,Canal View,New,0,648000,639,48000,20447,2022-03-17,137
241,Mirdif,1 BR,1,939,34,Villa Compound,Unfurnished,Garden View,New,1,1010000,1076,71000,13621,2022-02-25,23
242,Dubai Silicon Oasis,5+ BR,6,4143,55,High-Rise,Furnished,Garden View,Good,2,4408000,1064,366000,78644,2022-04-11,31
243,Dubai Silicon Oasis,5+ BR,5,3670,7,High-Rise,Unfurnished,Canal View,New,0,4186000,1141,289000,46001,2023-11-24,130
244,Jumeirah Village Circle (JVC),Studio,1,611,56,Villa Compound,Furnished,Pool View,New,0,895000,1465,68000,13717,2025-04-12,118
245,Jumeirah Beach Residence (JBR),5+ BR,6,5298,12,High-Rise,Furnished,Park View,Average,2,11284000,2130,878000,121987,2023-10-31,25
246,Jumeirah Village Circle (JVC),4 BR,3,2270,30,Mid-Rise,Furnished,Sea View,Average,0,2936000,1293,234000,31967,2024-02-02,180
247,Dubai Silicon Oasis,Studio,1,513,41,Low-Rise,Furnished,Pool View,New,0,612000,1193,40000,9953,2023-02-15,54
248,Damac Hills,1 BR,1,600,55,Mid-Rise,Semi-Furnished,Park View,New,0,933000,1555,53000,10024,2025-01-05,165
249,Deira,5+ BR,4,5509,10,Serviced Apartment,Furnished,Burj Khalifa View,Excellent,2,4973000,903,335000,112847,2024-06-14,80
250,Jumeirah Lakes Towers (JLT),4 BR,4,2565,60,Serviced Apartment,Furnished,Sea View,Excellent,0,4876000,1901,358000,60997,2025-04-09,22
251,DIFC,1 BR,1,695,48,Mid-Rise,Furnished,City View,New,2,2673000,3846,212000,9699,2022-01-27,56
252,Al Barsha,3 BR,2,2138,30,High-Rise,Furnished,Park View,New,1,2703000,1264,225000,38525,2025-03-02,118
253,Dubai Silicon Oasis,1 BR,1,815,46,Low-Rise,Furnished,Park View,Excellent,1,1022000,1254,72000,18557,2023-08-31,159
254,Business Bay,Studio,1,608,29,Villa Compound,Semi-Furnished,City View,Average,2,1053000,1732,78000,9043,2022-10-21,112
255,Jumeirah Lakes Towers (JLT),3 BR,3,1909,50,High-Rise,Furnished,Burj Khalifa View,New,1,4802000,2515,293000,42001,2022-08-31,89
256,Al Jaddaf,5+ BR,4,4797,6,Villa Compound,Semi-Furnished,City View,Excellent,0,5871000,1224,357000,118956,2023-10-08,83
257,Deira,4 BR,3,2252,29,Mid-Rise,Unfurnished,City View,New,1,2046000,909,160000,34519,2023-02-23,25
258,International City,3 BR,3,2102,30,Villa Compound,Unfurnished,Sea View,Good,0,1358000,646,94000,36918,2022-05-18,44
259,Bur Dubai,4 BR,3,2680,51,Villa Compound,Unfurnished,Park View,Average,2,2009000,750,170000,47019,2022-12-02,83
260,Arjan,2 BR,2,1000,51,Mid-Rise,Unfurnished,Garden View,Excellent,1,1057000,1057,87000,19358,2025-03-02,137
261,Al Quoz,2 BR,2,985,37,Mid-Rise,Furnished,Sea View,New,2,1167000,1185,93000,20649,2024-07-02,37
262,International City,Studio,1,450,15,High-Rise,Unfurnished,Pool View,Excellent,1,266000,591,15000,6141,2023-05-23,1
263,Deira,4 BR,3,2490,59,Low-Rise,Furnished,Pool View,Good,0,2247000,902,173000,38162,2025-02-22,50
264,Dubailand,3 BR,3,2053,41,Villa Compound,Semi-Furnished,Sea View,New,0,2718000,1324,156000,34364,2023-12-25,24
265,Al Quoz,5+ BR,4,4977,16,Mid-Rise,Unfurnished,Park View,Average,2,3343000,672,267000,99813,2023-03-20,127
266,Remraam,5+ BR,6,3075,11,Villa Compound,Semi-Furnished,Sea View,Good,2,2580000,839,178000,60223,2022-10-12,59
267,Damac Hills,2 BR,2,1378,60,Low-Rise,Unfurnished,Street View,Average,0,1592000,1155,131000,23904,2024-08-20,125
268,Jumeirah Village Circle (JVC),5+ BR,6,4753,33,Villa Compound,Semi-Furnished,Canal View,New,0,6349000,1336,468000,116920,2025-03-19,49
269,DIFC,4 BR,4,2242,32,High-Rise,Furnished,Street View,Excellent,1,6885000,3071,385000,41773,2023-04-22,88
270,Dubai Marina,1 BR,1,789,27,Serviced Apartment,Semi-Furnished,Burj Khalifa View,Good,0,1833000,2323,114000,15750,2023-07-23,43
271,Al Nahda,5+ BR,4,3111,47,High-Rise,Semi-Furnished,Canal View,New,1,4149000,1334,299000,60615,2022-06-04,162
272,Jumeirah Lakes Towers (JLT),5+ BR,5,4886,54,Mid-Rise,Semi-Furnished,Sea View,Excellent,2,9492000,1943,744000,80399,2023-11-21,21
273,DIFC,5+ BR,6,4159,20,High-Rise,Unfurnished,Park View,Average,2,9899000,2380,661000,84972,2022-09-07,174
274,Dubailand,2 BR,2,1235,43,High-Rise,Furnished,Canal View,Excellent,2,1476000,1195,104000,21233,2022-09-22,30
275,Arjan,3 BR,2,1475,55,Low-Rise,Unfurnished,Street View,Average,2,1400000,949,116000,27437,2022-03-12,60
276,Al Quoz,1 BR,1,653,19,Villa Compound,Semi-Furnished,Street View,New,2,664000,1017,55000,15673,2022-11-06,75
277,Remraam,4 BR,4,2835,26,Low-Rise,Furnished,City View,Average,1,2347000,828,179000,68416,2023-10-29,33
278,Dubai Silicon Oasis,3 BR,3,1874,53,Serviced Apartment,Unfurnished,City View,Good,0,1814000,968,116000,44229,2023-08-25,44
279,Dubai South,5+ BR,4,5197,16,Low-Rise,Unfurnished,City View,Average,2,3266000,628,196000,98190,2024-09-09,11
280,Business Bay,4 BR,4,2384,54,High-Rise,Furnished,Burj Khalifa View,Excellent,0,6222000,2610,433000,30537,2022-05-19,48
281,Palm Jumeirah,3 BR,3,1478,21,Low-Rise,Furnished,Garden View,Excellent,2,5726000,3874,421000,34409,2023-09-20,100
282,Dubai Silicon Oasis,1 BR,1,875,51,Villa Compound,Furnished,Pool View,Good,0,1046000,1195,85000,13144,2025-03-23,49
283,Jumeirah Lakes Towers (JLT),3 BR,2,2018,51,High-Rise,Unfurnished,Pool View,Average,0,2641000,1309,148000,39973,2022-08-26,97
284,Oud Metha,2 BR,2,1102,30,Mid-Rise,Furnished,Burj Khalifa View,New,1,1595000,1447,96000,16874,2024-09-02,75
285,Remraam,Studio,1,580,22,Serviced Apartment,Semi-Furnished,Canal View,Excellent,2,554000,955,32000,11394,2023-02-04,133
286,Dubai Marina,Studio,1,352,35,Low-Rise,Furnished,City View,Average,0,806000,2290,57000,8432,2022-11-19,150
287,Dubai Marina,Studio,1,385,14,High-Rise,Unfurnished,City View,Good,2,775000,2013,52000,7681,2023-06-08,34
288,Dubai Marina,1 BR,1,854,38,Serviced Apartment,Furnished,Canal View,New,0,3028000,3546,233000,17308,2024-12-26,117
289,Al Quoz,2 BR,2,1109,15,Mid-Rise,Semi-Furnished,Burj Khalifa View,Average,2,964000,869,72000,14888,2023-02-04,94
290,Palm Jumeirah,2 BR,2,1059,51,Low-Rise,Semi-Furnished,City View,Good,1,3654000,3450,269000,19519,2022-08-29,70
291,Al Jaddaf,Studio,1,353,3,Mid-Rise,Unfurnished,Pool View,Excellent,2,366000,1037,27000,7607,2024-07-03,62
292,Deira,Studio,1,387,43,Mid-Rise,Unfurnished,Park View,Excellent,1,326000,842,20000,8408,2022-06-12,108
293,Remraam,3 BR,3,1894,56,Villa Compound,Furnished,Garden View,Average,1,1758000,928,105000,25615,2022-08-26,164
294,Palm Jumeirah,5+ BR,6,3176,50,High-Rise,Furnished,Burj Khalifa View,Good,0,13763000,4333,947000,76841,2022-06-20,41
295,Downtown Dubai,5+ BR,4,4502,34,Villa Compound,Semi-Furnished,Sea View,New,2,15664000,3479,883000,91975,2023-02-28,143
296,Dubai South,1 BR,1,669,21,Mid-Rise,Furnished,Street View,New,1,579000,865,38000,11637,2025-03-26,57
297,Dubai Creek Harbour,1 BR,1,890,17,High-Rise,Semi-Furnished,Sea View,New,2,2140000,2404,179000,13178,2024-02-09,47
298,Dubai South,1 BR,1,704,60,Serviced Apartment,Unfurnished,Street View,New,2,640000,909,39000,11873,2024-04-13,88
299,Palm Jumeirah,Studio,1,570,28,Serviced Apartment,Semi-Furnished,City View,New,2,2082000,3653,161000,7005,2022-03-22,63
300,DIFC,2 BR,2,1462,17,Villa Compound,Unfurnished,City View,Average,0,3507000,2399,202000,32890,2022-07-20,101
301,Remraam,2 BR,2,1400,49,Villa Compound,Unfurnished,Park View,New,1,1309000,935,86000,17290,2023-02-08,129
302,Dubai Creek Harbour,2 BR,2,1261,49,Mid-Rise,Semi-Furnished,Park View,Excellent,2,2318000,1838,168000,20811,2024-07-30,55
303,Al Barsha,Studio,1,614,10,Low-Rise,Unfurnished,Canal View,Average,2,722000,1176,46000,14467,2024-02-24,94
304,Damac Hills,4 BR,3,2138,47,High-Rise,Furnished,Park View,Good,0,3038000,1421,214000,46939,2022-08-15,73
305,Jumeirah Beach Residence (JBR),4 BR,4,2411,51,Villa Compound,Semi-Furnished,Street View,Average,2,4897000,2031,389000,55254,2022-02-01,36
306,Bur Dubai,3 BR,2,1439,31,Mid-Rise,Unfurnished,Canal View,Average,1,1286000,894,102000,22765,2022-09-13,90
307,Jumeirah Village Circle (JVC),4 BR,3,3474,19,Villa Compound,Semi-Furnished,Burj Khalifa View,Excellent,0,4961000,1428,358000,76257,2023-07-26,130
308,Al Nahda,5+ BR,6,3067,38,Serviced Apartment,Furnished,Park View,Average,1,2697000,879,174000,54494,2022-04-25,168
309,Dubai Silicon Oasis,4 BR,3,2293,37,Villa Compound,Unfurnished,Park View,Good,1,2126000,927,128000,33976,2022-07-23,83
310,Al Quoz,3 BR,2,1947,51,Serviced Apartment,Unfurnished,Pool View,Good,0,1554000,798,116000,42251,2024-08-31,35
311,Al Quoz,2 BR,2,1157,53,High-Rise,Unfurnished,Pool View,Good,0,853000,737,67000,28304,2024-05-31,176
312,Al Quoz,1 BR,1,837,59,Villa Compound,Unfurnished,Sea View,New,2,873000,1043,70000,19521,2023-07-01,93
313,Dubailand,3 BR,2,1783,29,Serviced Apartment,Unfurnished,Burj Khalifa View,Excellent,1,1689000,947,103000,40113,2023-03-15,141
314,Oud Metha,Studio,1,397,5,Mid-Rise,Semi-Furnished,City View,New,0,420000,1058,24000,6104,2022-03-15,163
315,Downtown Dubai,3 BR,3,2149,3,Low-Rise,Unfurnished,Canal View,New,2,6331000,2946,382000,46943,2022-06-09,118
316,Business Bay,4 BR,4,2491,28,Mid-Rise,Semi-Furnished,Park View,Average,0,4707000,1890,302000,61408,2022-03-22,41
317,Dubai South,1 BR,1,741,52,Mid-Rise,Unfurnished,Park View,New,2,693000,935,44000,12956,2024-05-20,120
318,Al Jaddaf,Studio,1,519,3,High-Rise,Semi-Furnished,Burj Khalifa View,Average,0,519000,1000,29000,11487,2022-03-30,94
319,Al Quoz,2 BR,2,1315,24,Villa Compound,Semi-Furnished,Pool View,Good,2,998000,759,63000,30939,2024-08-27,148
320,Dubailand,Studio,1,511,30,Low-Rise,Furnished,Street View,Excellent,1,519000,1016,39000,8553,2022-05-07,135
321,Arjan,5+ BR,6,3219,34,Serviced Apartment,Unfurnished,Pool View,New,0,3515000,1092,260000,56138,2024-04-28,113
322,Downtown Dubai,3 BR,3,1829,44,Serviced Apartment,Semi-Furnished,Street View,New,1,5306000,2901,338000,34976,2024-10-22,26
323,Palm Jumeirah,Studio,1,436,29,Villa Compound,Furnished,Burj Khalifa View,Excellent,1,1886000,4326,144000,9458,2024-04-25,172
324,Dubai South,5+ BR,4,5226,58,High-Rise,Semi-Furnished,City View,Excellent,2,4133000,791,344000,119566,2022-03-11,36
325,Arjan,4 BR,3,2752,49,Low-Rise,Furnished,Pool View,New,2,3724000,1353,281000,44426,2024-08-31,39
326,Dubai Hills Estate,2 BR,2,1016,8,High-Rise,Unfurnished,Canal View,Excellent,1,2325000,2288,138000,19498,2022-07-25,96
327,Oud Metha,Studio,1,547,14,Serviced Apartment,Unfurnished,Street View,Excellent,0,562000,1027,31000,11265,2025-04-01,83
328,Jumeirah Lakes Towers (JLT),1 BR,1,606,24,Villa Compound,Unfurnished,Canal View,New,1,1102000,1818,72000,7426,2024-08-18,171
329,Remraam,Studio,1,646,41,Serviced Apartment,Unfurnished,Park View,Good,2,526000,814,34000,8990,2024-06-24,4
330,Oud Metha,4 BR,3,2567,19,Serviced Apartment,Unfurnished,Pool View,New,1,2844000,1108,168000,56843,2023-12-06,160
331,Al Barsha,5+ BR,4,4228,48,Low-Rise,Furnished,Pool View,Average,1,4853000,1148,403000,56252,2025-03-10,96
332,Al Quoz,1 BR,1,938,39,High-Rise,Furnished,Canal View,Good,0,1093000,1165,82000,19261,2022-01-23,52
333,Deira,1 BR,1,896,51,Villa Compound,Unfurnished,City View,New,1,824000,920,50000,19309,2024-03-31,117
334,Downtown Dubai,Studio,1,491,52,Mid-Rise,Furnished,Garden View,Average,0,1235000,2515,90000,10199,2023-02-23,17
335,Dubai Marina,1 BR,1,919,6,Villa Compound,Semi-Furnished,Canal View,Excellent,2,2206000,2400,151000,14681,2023-02-16,123
336,Dubai Creek Harbour,5+ BR,4,4499,35,Villa Compound,Unfurnished,Canal View,Excellent,2,9645000,2144,797000,100188,2025-01-22,145
337,Dubai Creek Harbour,1 BR,1,851,51,Mid-Rise,Semi-Furnished,Pool View,Average,2,1337000,1571,109000,12361,2023-12-19,7
338,Al Jaddaf,1 BR,1,646,59,High-Rise,Semi-Furnished,Sea View,Average,0,895000,1385,53000,12576,2022-12-27,133
339,Deira,5+ BR,5,4951,54,Low-Rise,Unfurnished,Pool View,New,2,4931000,996,368000,110402,2024-06-19,76
340,Mirdif,1 BR,1,772,23,Serviced Apartment,Furnished,Sea View,New,2,1023000,1325,77000,15386,2024-12-11,7
341,Bur Dubai,3 BR,2,1557,24,High-Rise,Furnished,Garden View,Good,0,1285000,825,93000,21509,2023-03-24,131
342,Dubai South,5+ BR,6,5498,59,High-Rise,Furnished,Street View,New,1,4634000,843,366000,84485,2023-08-30,99
343,DIFC,2 BR,2,1424,8,Villa Compound,Semi-Furnished,Canal View,Good,2,3812000,2677,260000,27046,2024-12-04,84
344,Mirdif,2 BR,2,1046,44,Low-Rise,Furnished,Sea View,Good,0,1301000,1244,75000,24865,2024-07-14,86
345,Bur Dubai,Studio,1,640,30,Serviced Apartment,Furnished,Garden View,Good,0,578000,903,34000,10980,2024-07-12,50
346,Dubai Creek Harbour,2 BR,2,1225,33,Mid-Rise,Unfurnished,Burj Khalifa View,Good,0,2335000,1906,153000,16205,2022-08-14,167
347,Jumeirah Village Circle (JVC),1 BR,1,723,7,Villa Compound,Semi-Furnished,Canal View,New,2,1137000,1573,74000,17627,2023-08-31,65
348,Arjan,Studio,1,554,53,Serviced Apartment,Furnished,Burj Khalifa View,New,1,847000,1529,52000,9241,2025-02-07,40
349,Remraam,3 BR,2,1490,46,Low-Rise,Furnished,City View,Good,1,1501000,1007,100000,23364,2024-03-02,94
350,Palm Jumeirah,4 BR,3,2350,3,Serviced Apartment,Semi-Furnished,Pool View,Excellent,0,6986000,2973,436000,54948,2022-05-02,118
351,Remraam,Studio,1,460,35,Serviced Apartment,Semi-Furnished,Sea View,Excellent,1,544000,1183,33000,10658,2024-11-20,87
352,Al Quoz,3 BR,3,2193,60,High-Rise,Furnished,Sea View,Excellent,2,2538000,1157,176000,45367,2023-03-06,116
353,Oud Metha,4 BR,4,3431,34,Low-Rise,Semi-Furnished,Street View,Excellent,0,3554000,1036,235000,74066,2025-02-20,36
354,Jumeirah Beach Residence (JBR),5+ BR,6,4290,36,Serviced Apartment,Unfurnished,Park View,Good,1,9358000,2181,565000,71203,2023-06-26,81
355,Al Barsha,2 BR,2,1082,58,Serviced Apartment,Furnished,City View,Excellent,2,1372000,1268,94000,18178,2025-05-10,128
356,DIFC,5+ BR,5,5332,15,Serviced Apartment,Unfurnished,Park View,Excellent,1,14088000,2642,1045000,109069,2022-11-18,92
357,Palm Jumeirah,Studio,1,382,32,Low-Rise,Unfurnished,Sea View,Good,2,1425000,3730,101000,7520,2022-10-14,50
358,Dubai Silicon Oasis,5+ BR,4,3707,21,High-Rise,Unfurnished,Park View,Excellent,1,3532000,953,257000,68916,2024-06-17,98
359,Mirdif,5+ BR,5,3584,1,Low-Rise,Furnished,Sea View,Excellent,1,4396000,1227,243000,54095,2022-07-06,87
360,Downtown Dubai,5+ BR,6,5610,10,Serviced Apartment,Unfurnished,Street View,New,0,15758000,2809,1159000,79081,2022-11-25,91
361,Jumeirah Beach Residence (JBR),2 BR,2,1009,1,High-Rise,Unfurnished,Canal View,Good,1,2457000,2435,155000,22710,2023-08-23,134
362,Palm Jumeirah,2 BR,2,1437,39,Villa Compound,Unfurnished,Pool View,New,2,5306000,3692,451000,23184,2024-11-24,153
363,Al Nahda,1 BR,1,847,15,Mid-Rise,Semi-Furnished,Burj Khalifa View,Good,1,860000,1015,53000,17249,2024-01-18,13
364,Downtown Dubai,5+ BR,4,4298,17,Villa Compound,Furnished,Burj Khalifa View,Excellent,2,14240000,3313,800000,94851,2024-03-18,95
365,Dubai South,1 BR,1,917,33,Serviced Apartment,Furnished,Garden View,Average,1,709000,773,47000,17841,2023-06-04,138
366,Mirdif,Studio,1,615,17,High-Rise,Furnished,City View,Good,0,584000,950,41000,8619,2022-09-26,150
367,Mirdif,3 BR,2,1963,59,Villa Compound,Semi-Furnished,Park View,New,1,2007000,1022,158000,43280,2023-11-13,77
368,Jumeirah Village Circle (JVC),3 BR,2,2168,18,Mid-Rise,Unfurnished,Street View,Good,2,2167000,1000,178000,51560,2022-08-03,175
369,Dubai South,3 BR,2,1900,5,Serviced Apartment,Furnished,Burj Khalifa View,New,1,1835000,966,150000,36634,2025-05-02,4
370,Jumeirah Beach Residence (JBR),5+ BR,4,5135,42,Villa Compound,Unfurnished,Sea View,Good,0,13203000,2571,770000,127031,2022-01-24,42
371,Al Barsha,Studio,1,467,13,Mid-Rise,Furnished,Burj Khalifa View,Excellent,1,641000,1373,44000,11037,2024-03-05,90
372,Al Jaddaf,5+ BR,4,3354,32,High-Rise,Semi-Furnished,Park View,Average,1,3573000,1065,251000,66173,2024-05-27,17
373,International City,Studio,1,587,2,High-Rise,Furnished,Street View,Average,2,328000,559,26000,7912,2022-07-04,33
374,Remraam,3 BR,2,1649,27,Mid-Rise,Semi-Furnished,Park View,Average,1,1227000,744,95000,36847,2022-06-10,137
375,Al Quoz,4 BR,3,2313,3,High-Rise,Unfurnished,Canal View,Average,0,1709000,739,138000,45912,2024-03-16,130
376,Al Barsha,Studio,1,552,52,High-Rise,Semi-Furnished,Canal View,Good,1,701000,1270,40000,8846,2024-07-27,145
377,Mirdif,Studio,1,391,15,Mid-Rise,Furnished,Park View,Average,0,337000,862,21000,5775,2023-04-06,165
378,Deira,Studio,1,634,9,Mid-Rise,Furnished,Park View,Average,1,454000,716,38000,15504,2024-01-16,173
379,Dubai Creek Harbour,Studio,1,430,40,High-Rise,Unfurnished,Street View,Good,2,703000,1635,45000,9345,2023-07-13,137
380,Downtown Dubai,3 BR,2,2137,39,Low-Rise,Unfurnished,City View,Excellent,2,5898000,2760,495000,36274,2023-02-06,169
381,Jumeirah Lakes Towers (JLT),1 BR,1,782,40,High-Rise,Semi-Furnished,City View,Average,0,1098000,1404,83000,14364,2022-08-20,53
382,International City,4 BR,4,3221,46,Low-Rise,Semi-Furnished,Pool View,Average,1,1899000,590,160000,44932,2024-05-14,126
383,DIFC,Studio,1,515,12,High-Rise,Unfurnished,Garden View,Average,1,1238000,2404,84000,8642,2022-11-22,147
384,Dubai Silicon Oasis,5+ BR,5,3350,33,Mid-Rise,Unfurnished,Pool View,Excellent,0,3386000,1011,189000,66865,2023-02-24,173
385,Al Nahda,1 BR,1,775,23,Serviced Apartment,Unfurnished,Sea View,Excellent,2,814000,1050,64000,18670,2023-06-27,166
